route_id,service_id,trip_id,direction_id,trip_headsign,block_id,shape_id,wheelchair_accessible,bikes_allowed
992,224,18550_0_1,1,Авторинок (199),18550,7721,0,0
992,224,18550_1_0,0,Грінченка (639),18550,7722,0,0
992,224,18550_1_1,1,Авторинок (199),18550,7721,0,0
992,224,18550_2_0,0,Грінченка (639),18550,7722,0,0
992,224,18550_2_1,1,Авторинок (199),18550,7721,0,0
992,224,18550_3_0,0,Грінченка (639),18550,7722,0,0
992,224,18550_3_1,1,Авторинок (199),18550,7721,0,0
992,224,18550_4_0,0,Грінченка (639),18550,7722,0,0
992,224,18550_4_1,1,Авторинок (199),18550,7721,0,0
992,224,18550_5_0,0,Грінченка (639),18550,7722,0,0
992,224,18550_5_1,1,Авторинок (199),18550,7721,0,0
992,224,18550_6_0,0,Грінченка (639),18550,7722,0,0
992,224,18550_6_1,1,Авторинок (199),18550,7721,0,0
992,224,18550_7_0,0,Грінченка (639),18550,7722,0,0
992,224,18550_7_1,1,Авторинок (199),18550,7721,0,0
992,224,18551_0_0,0,Грінченка (639),18551,7722,0,0
992,224,18551_0_1,1,Авторинок (199),18551,7721,0,0
992,224,18551_1_0,0,Грінченка (639),18551,7722,0,0
992,224,18551_1_1,1,Авторинок (199),18551,7721,0,0
992,224,18551_2_0,0,Грінченка (639),18551,7722,0,0
992,224,18551_2_1,1,Авторинок (199),18551,7721,0,0
992,224,18551_3_0,0,Грінченка (639),18551,7722,0,0
992,224,18551_3_1,1,Авторинок (199),18551,7721,0,0
992,224,18551_4_0,0,Грінченка (639),18551,7722,0,0
992,224,18551_4_1,1,Авторинок (199),18551,7721,0,0
992,224,18551_5_0,0,Грінченка (639),18551,7722,0,0
992,224,18551_5_1,1,Авторинок (199),18551,7721,0,0
992,224,18551_6_0,0,Грінченка (639),18551,7722,0,0
992,224,18551_6_1,1,Авторинок (199),18551,7721,0,0
992,224,18551_7_0,0,Грінченка (639),18551,7722,0,0
881,224,18703_0_0,0,"Малі Грибовичі, Центр (1294)",18703,6179,0,0
881,224,18703_0_1,1,Залізничний вокзал Підзамче (312),18703,6180,0,0
881,224,18703_1_0,0,"Малі Грибовичі, Центр (1294)",18703,6179,0,0
881,224,18703_1_1,1,Залізничний вокзал Підзамче (312),18703,6180,0,0
881,224,18703_2_0,0,"Малі Грибовичі, Центр (1294)",18703,6179,0,0
881,224,18703_2_1,1,Залізничний вокзал Підзамче (312),18703,6180,0,0
881,224,18703_3_0,0,"Малі Грибовичі, Центр (1294)",18703,6179,0,0
881,224,18703_3_1,1,Залізничний вокзал Підзамче (312),18703,6180,0,0
881,224,18703_4_0,0,"Малі Грибовичі, Центр (1294)",18703,6179,0,0
881,224,18703_4_1,1,Залізничний вокзал Підзамче (312),18703,6180,0,0
133,224,21575_0_1,1,Ветеранів (727),21575,6922,1,0
133,224,21575_1_0,0,"Воля Гамулецька, Центр (1326)",21575,6923,1,0
133,224,21575_1_1,1,Ветеранів (727),21575,6924,1,0
133,224,21575_2_0,0,"Воля Гамулецька, Центр (1326)",21575,6923,1,0
133,224,21575_2_1,1,Ветеранів (727),21575,6924,1,0
133,224,21575_3_0,0,"Воля Гамулецька, Центр (1326)",21575,6923,1,0
133,224,21575_3_1,1,Ветеранів (727),21575,6924,1,0
133,224,21575_4_0,0,"Воля Гамулецька, Центр (1326)",21575,6923,1,0
133,224,21575_4_1,1,Ветеранів (727),21575,,1,0
176,224,22194_0_1,1,Університет (78),22194,2152,0,0
176,224,22194_1_0,0,Суботівська (177),22194,1905,0,0
176,224,22194_1_1,1,Університет (78),22194,2152,0,0
176,224,22194_2_0,0,Суботівська (177),22194,1905,0,0
176,224,22194_2_1,1,Університет (78),22194,2152,0,0
176,224,22194_3_0,0,Суботівська (177),22194,1905,0,0
176,224,22194_3_1,1,Університет (78),22194,2152,0,0
176,224,22194_4_0,0,Суботівська (177),22194,1905,0,0
176,224,22194_4_1,1,Університет (78),22194,2152,0,0
176,224,22194_5_0,0,Суботівська (177),22194,1905,0,0
176,224,22194_5_1,1,Університет (78),22194,2152,0,0
176,224,22194_6_0,0,Суботівська (177),22194,1905,0,0
176,224,22194_6_1,1,Університет (78),22194,2152,0,0
176,224,22195_0_1,1,Університет (78),22195,2152,0,0
176,224,22195_1_0,0,Суботівська (177),22195,1905,0,0
176,224,22195_1_1,1,Університет (78),22195,2152,0,0
176,224,22195_2_0,0,Суботівська (177),22195,1905,0,0
176,224,22195_2_1,1,Університет (78),22195,2152,0,0
176,224,22195_3_0,0,Суботівська (177),22195,1905,0,0
176,224,22195_3_1,1,Університет (78),22195,2152,0,0
176,224,22195_4_0,0,Суботівська (177),22195,1905,0,0
176,224,22195_4_1,1,Університет (78),22195,2152,0,0
176,224,22195_5_0,0,Суботівська (177),22195,1905,0,0
176,224,22195_5_1,1,Університет (78),22195,2152,0,0
176,224,22195_6_0,0,Суботівська (177),22195,1905,0,0
176,224,22195_6_1,1,Університет (78),22195,2152,0,0
176,224,22196_0_0,0,Суботівська (177),22196,1905,0,0
176,224,22196_0_1,1,Університет (78),22196,2152,0,0
176,224,22196_1_0,0,Суботівська (177),22196,1905,0,0
176,224,22196_1_1,1,Університет (78),22196,2152,0,0
176,224,22196_2_0,0,Суботівська (177),22196,1905,0,0
176,224,22196_2_1,1,Університет (78),22196,2152,0,0
176,224,22196_3_0,0,Суботівська (177),22196,1905,0,0
176,224,22196_3_1,1,Університет (78),22196,2152,0,0
176,224,22196_4_0,0,Суботівська (177),22196,1905,0,0
176,224,22196_4_1,1,Університет (78),22196,2152,0,0
176,224,22196_5_0,0,Суботівська (177),22196,1905,0,0
176,224,22196_5_1,1,Університет (78),22196,2152,0,0
